"filename", "language", "CSS", "JavaScript", "Vue", "comment", "blank", "total"
"f:\flash-sale\src\components\VertitationCode.vue", "Vue", 0, 0, -11, -3, -2, -16
"f:\flash-sale\src\main.js", "JavaScript", 0, 1, 0, 2, 1, 4
"f:\flash-sale\src\style.css", "CSS", 17, 0, 0, 0, 4, 21
"f:\flash-sale\src\styles\button.css", "CSS", 24, 0, 0, 0, 5, 29
"f:\flash-sale\src\views\LoginView.vue", "Vue", 0, 0, 8, 0, 2, 10
"f:\flash-sale\src\views\admin\DashboardView.vue", "Vue", 0, 0, 2, 0, 0, 2
"f:\flash-sale\src\views\admin\FlashSaleActivityView.vue", "Vue", 0, 0, 16, 0, 2, 18
"f:\flash-sale\src\views\admin\OrderView.vue", "Vue", 0, 0, 16, 0, 5, 21
"f:\flash-sale\src\views\admin\ProductView.vue", "Vue", 0, 0, 16, 0, 4, 20
"f:\flash-sale\src\views\admin\ReservationUserView.vue", "Vue", 0, 0, 16, 0, 5, 21
"f:\flash-sale\src\views\admin\ReservationView.vue", "Vue", 0, 0, 16, 0, 4, 20
"f:\flash-sale\src\views\admin\StatisticsView.vue", "Vue", 0, 0, 23, 11, 14, 48
"f:\flash-sale\src\views\admin\UserView.vue", "Vue", 0, 0, 16, 0, 6, 22
"Total", "-", 41, 1, 118, 10, 50, 220