"filename", "language", "JavaScript", "Markdown", "Vue", "XML", "CSS", "JSON", "HTML", "comment", "blank", "total"
"f:\flash-sale\README.md", "Markdown", 0, 4, 0, 0, 0, 0, 0, 0, 4, 8
"f:\flash-sale\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"f:\flash-sale\package-lock.json", "JSON", 0, 0, 0, 0, 0, 1336, 0, 0, 1, 1337
"f:\flash-sale\package.json", "JSON", 0, 0, 0, 0, 0, 27, 0, 0, 1, 28
"f:\flash-sale\public\vite.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"f:\flash-sale\src\App.vue", "Vue", 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"f:\flash-sale\src\assets\404.svg", "XML", 0, 0, 0, 46, 0, 0, 0, 1, 2, 49
"f:\flash-sale\src\assets\aside_bottom.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"f:\flash-sale\src\assets\astronaut.svg", "XML", 0, 0, 0, 932, 0, 0, 0, 1, 2, 935
"f:\flash-sale\src\assets\empty_data.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"f:\flash-sale\src\assets\mars.svg", "XML", 0, 0, 0, 151, 0, 0, 0, 1, 2, 154
"f:\flash-sale\src\assets\meteor.svg", "XML", 0, 0, 0, 29, 0, 0, 0, 1, 2, 32
"f:\flash-sale\src\assets\spaceship.svg", "XML", 0, 0, 0, 507, 0, 0, 0, 1, 2, 510
"f:\flash-sale\src\assets\star.svg", "XML", 0, 0, 0, 385, 0, 0, 0, 1, 2, 388
"f:\flash-sale\src\components\VertitationCode.vue", "Vue", 0, 0, 67, 0, 0, 0, 0, 27, 17, 111
"f:\flash-sale\src\http\httpRequest.js", "JavaScript", 116, 0, 0, 0, 0, 0, 0, 18, 20, 154
"f:\flash-sale\src\main.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 3, 11, 36
"f:\flash-sale\src\router\router.js", "JavaScript", 102, 0, 0, 0, 0, 0, 0, 7, 17, 126
"f:\flash-sale\src\stores\product.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"f:\flash-sale\src\style.css", "CSS", 0, 0, 0, 0, 47, 0, 0, 1, 13, 61
"f:\flash-sale\src\styles\button.css", "CSS", 0, 0, 0, 0, 24, 0, 0, 0, 5, 29
"f:\flash-sale\src\views\404.vue", "Vue", 0, 0, 129, 0, 0, 0, 0, 0, 20, 149
"f:\flash-sale\src\views\DetailView.vue", "Vue", 0, 0, 309, 0, 0, 0, 0, 37, 56, 402
"f:\flash-sale\src\views\HomeView.vue", "Vue", 0, 0, 345, 0, 0, 0, 0, 57, 53, 455
"f:\flash-sale\src\views\LoginView.vue", "Vue", 0, 0, 413, 0, 0, 0, 0, 78, 62, 553
"f:\flash-sale\src\views\admin\DashboardView.vue", "Vue", 0, 0, 193, 0, 0, 0, 0, 13, 23, 229
"f:\flash-sale\src\views\admin\FlashSaleActivityView.vue", "Vue", 0, 0, 219, 0, 0, 0, 0, 10, 29, 258
"f:\flash-sale\src\views\admin\OrderView.vue", "Vue", 0, 0, 417, 0, 0, 0, 0, 28, 56, 501
"f:\flash-sale\src\views\admin\ProductView.vue", "Vue", 0, 0, 435, 0, 0, 0, 0, 51, 51, 537
"f:\flash-sale\src\views\admin\ReservationUserView.vue", "Vue", 0, 0, 233, 0, 0, 0, 0, 27, 34, 294
"f:\flash-sale\src\views\admin\ReservationView.vue", "Vue", 0, 0, 260, 0, 0, 0, 0, 18, 35, 313
"f:\flash-sale\src\views\admin\StatisticsView.vue", "Vue", 0, 0, 485, 0, 0, 0, 0, 57, 72, 614
"f:\flash-sale\src\views\admin\UserView.vue", "Vue", 0, 0, 431, 0, 0, 0, 0, 47, 50, 528
"f:\flash-sale\vite.config.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 1, 2, 11
"Total", "-", 263, 4, 3939, 2053, 71, 1363, 13, 486, 649, 8841